timestamp,src_ip,dst_ip,hostname,username,alert_type,tactic,campaign_id,protocol,service,flag,src_bytes,dst_bytes,stage
2024-01-01 00:00:00,10.0.235.1,192.168.0.1,host-067.local,unknown@domain.com,normal,None,45,tcp,ftp_data,SF,491,0,Normal
2024-01-01 00:05:00,10.0.146.1,192.168.0.1,host-638.local,unknown@domain.com,normal,None,45,udp,other,SF,146,0,Normal
2024-01-01 00:10:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,S0,0,0,Stage_2
2024-01-01 00:15:00,10.0.232.1,192.168.217.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,232,8153,Normal
2024-01-01 00:20:00,10.0.199.1,192.168.164.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,199,420,Normal
2024-01-01 00:25:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,REJ,0,0,Stage_0
2024-01-01 00:30:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,S0,0,0,Stage_1
2024-01-01 00:35:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,S0,0,0,Stage_2
2024-01-01 00:40:00,10.0.0.1,192.168.0.1,host-144.local,unknown@domain.com,attack,Impact,24,tcp,remote_job,S0,0,0,Stage_3
2024-01-01 00:45:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,S0,0,0,Stage_4
2024-01-01 00:50:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,REJ,0,0,Stage_0
2024-01-01 00:55:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,S0,0,0,Stage_1
2024-01-01 01:00:00,10.0.31.1,192.168.203.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,287,2251,Normal
2024-01-01 01:05:00,10.0.78.1,192.168.0.1,host-067.local,user_09@domain.com,attack,Command and Control,22,tcp,ftp_data,SF,334,0,Stage_3
2024-01-01 01:10:00,10.0.0.1,192.168.0.1,host-347.local,unknown@domain.com,attack,Impact,24,tcp,name,S0,0,0,Stage_4
2024-01-01 01:15:00,10.0.0.1,192.168.0.1,host-495.local,unknown@domain.com,attack,Impact,24,tcp,netbios_ns,S0,0,0,Stage_0
2024-01-01 01:20:00,10.0.44.1,192.168.220.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,300,13788,Normal
2024-01-01 01:25:00,10.0.18.1,192.168.0.1,host-595.local,unknown@domain.com,attack,Reconnaissance,4,icmp,eco_i,SF,18,0,Stage_2
2024-01-01 01:30:00,10.0.233.1,192.168.104.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,233,616,Normal
2024-01-01 01:35:00,10.0.87.1,192.168.154.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,343,1178,Normal
2024-01-01 01:40:00,10.0.0.1,192.168.0.1,host-518.local,unknown@domain.com,attack,Impact,24,tcp,mtp,S0,0,0,Stage_0
2024-01-01 01:45:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,S0,0,0,Stage_1
2024-01-01 01:50:00,10.0.253.1,192.168.129.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,253,11905,Normal
2024-01-01 01:55:00,10.231.147.1,192.168.105.1,host-638.local,unknown@domain.com,normal,None,45,udp,other,SF,147,105,Normal
2024-01-01 02:00:00,10.0.0.1,192.168.0.1,host-518.local,unknown@domain.com,attack,Impact,24,tcp,mtp,S0,0,0,Stage_4
2024-01-01 02:05:00,10.251.181.1,192.168.85.1,host-409.local,user_09@domain.com,normal,None,45,tcp,telnet,SF,437,14421,Normal
2024-01-01 02:10:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Impact,24,tcp,private,S0,0,0,Stage_1
2024-01-01 02:15:00,10.0.227.1,192.168.188.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,227,6588,Normal
2024-01-01 02:20:00,10.0.215.1,192.168.3.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,215,10499,Normal
2024-01-01 02:25:00,10.0.241.1,192.168.120.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,241,1400,Normal
2024-01-01 02:30:00,10.0.8.1,192.168.0.1,host-595.local,unknown@domain.com,attack,Reconnaissance,4,icmp,eco_i,SF,8,0,Stage_0
2024-01-01 02:35:00,10.0.0.1,192.168.0.1,host-901.local,unknown@domain.com,attack,Impact,24,tcp,finger,S0,0,0,Stage_1
2024-01-01 02:40:00,10.0.47.1,192.168.43.1,host-943.local,user_09@domain.com,normal,None,45,tcp,http,SF,303,555,Normal
2024-01-01 02:45:00,10.0.0.1,192.168.0.1,host-517.local,unknown@domain.com,attack,Reconnaissance,45,tcp,private,REJ,0,0,Stage_3
2024-01-01 02:50:00,10.0.45.1,192.168.45.1,host-698.local,unknown@domain.com,normal,None,45,udp,domain_u,SF,45,45,Normal
2024-01-01 02:55:00,10.1.105.1,192.168.147.1,host-517.local,unknown@domain.com,normal,None,45,udp,private,SF,105,147,Normal
2024-01-01 03:00:00,10.0.43.1,192.168.43.1,host-698.local,unknown@domain.com,normal,None,45,udp,domain_u,SF,43,43,Normal
2024-01-01 03:05:00,10.0.0.1,192.168.0.1,host-708.local,unknown@domain.com,attack,Impact,24,tcp,supdup,S0,0,0,Stage_2
