Method,ARI,NMI,Homogeneity,Completeness,V-Measure,FMI,Pred_Clusters,Time_s,Dataset
K-Means,0.317,0.5896,0.6977,0.5106,0.5896,0.5527,16,1.592,NSL-KDD
Hierarchical,0.2586,0.5614,0.6953,0.4707,0.5614,0.4987,16,0.035,NSL-KDD
Rule-Based,0.1121,0.4997,0.9209,0.3429,0.4997,0.3227,104,0.031,NSL-KDD
IP-Subnet,0.1121,0.4897,0.89,0.3378,0.4897,0.3228,97,0.027,NSL-KDD
Cosine-Similarity,0.0,0.0,0.0,1.0,0.0,0.6782,1,0.035,NSL-KDD
Temporal,0.0,0.0,0.0,1.0,0.0,0.6782,1,0.057,NSL-KDD
MITRE-CORE (Union-Find),0.0,0.0,0.0,1.0,0.0,0.6782,1,0.712,NSL-KDD
DBSCAN,ERROR,-,-,-,-,-,-,-,NSL-KDD
K-Means,0.1884,0.313,0.2779,0.3584,0.313,0.3266,6,0.047,TON_IoT
Hierarchical,0.1673,0.3145,0.2744,0.3683,0.3145,0.3181,6,0.012,TON_IoT
Rule-Based,0.0016,0.5245,1.0,0.3555,0.5245,0.0302,372,0.027,TON_IoT
IP-Subnet,0.008,0.53,1.0,0.3605,0.53,0.0676,354,0.048,TON_IoT
Cosine-Similarity,0.0,0.0,0.0,1.0,0.0,0.3485,1,0.046,TON_IoT
Temporal,-0.0001,0.0051,0.0026,0.2965,0.0051,0.3475,2,0.009,TON_IoT
MITRE-CORE (Union-Find),0.0,0.0,0.0,1.0,0.0,0.3485,1,0.785,TON_IoT
DBSCAN,0.0,0.0,0.0,1.0,0.0,0.3485,1,0.017,TON_IoT
